incoming_id,internal_id,timestamp,pose_valid,fx,fy,cx,cy,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23
8,8,0.8,1,320,320,319.999969482,239.999938965,0.992257828274,-0.101370392127,-0.0717526712371,0.169151705694,0.0954887715023,0.992118135472,-0.0811387686864,0.000965783572562,0.0794121952014,0.0736590039771,0.994116720706,-0.0181208327935
9,9,0.9,1,320,320,319.999969482,239.999938965,0.99013198686,-0.114744027359,-0.0804515803593,0.189949081737,0.107244554051,0.989961882595,-0.0920547480281,0.00124262093716,0.0902067304766,0.0825183567066,0.992498597774,-0.0203440351213
10,10,1,1,320,320,319.999969482,239.999938965,0.987802066155,-0.127920732271,-0.08878831204,0.210617024936,0.118644763095,0.987591077233,-0.102894530269,0.00150145611459,0.100848888392,0.0911051613482,0.990721631583,-0.022613028723
11,11,1.1,1,319.999969482,320,319.999938965,239.999847412,0.985314935538,-0.141112966984,-0.0961332843223,0.231211285892,0.129997898845,0.985000909409,-0.113462569861,0.00161583726115,0.110702412357,0.0992992397378,0.988880496767,-0.0254134722229
12,12,1.2,1,319.999969482,320,319.999938965,239.999847412,0.98267293716,-0.153716035541,-0.103562922858,0.251715337101,0.140620821096,0.982304374506,-0.123708934604,0.00183064066646,0.120746359148,0.107002318873,0.986899600014,-0.0277509742565
13,13,1.3,1,319.999969482,320,319.999938965,239.999847412,0.979907459314,-0.165973308854,-0.110608462283,0.272340460529,0.150776495152,0.979451124109,-0.133947541941,0.00245475843398,0.130567299468,0.114579039228,0.984796336345,-0.0297955009302
14,14,1.4,1,319.999938965,320.000030518,319.999969482,239.999938965,0.977196429145,-0.177673930051,-0.116271722469,0.292156180801,0.160520488192,0.976584982743,-0.143230389065,0.00242077723784,0.138997524208,0.121300231085,0.982835663884,-0.0322239926657
15,15,1.5,1,319.999938965,320.000030518,319.999969482,239.999938965,0.9744300036,-0.188808143119,-0.121809905901,0.311211449758,0.169635189826,0.97368093222,-0.152214797582,0.00272515298359,0.147343376018,0.127659419246,0.980812419488,-0.0342494791791
16,16,1.6,1,319.999938965,320.000030518,319.999969482,239.999938965,0.971737189982,-0.199116022595,-0.126805532813,0.329078672838,0.177943437327,0.97081382706,-0.160800019591,0.00333252560183,0.155122424936,0.133691146805,0.978807289791,-0.0360481206513
17,17,1.7,1,319.999908447,320.000061035,320.000061035,240.000061035,0.969214721251,-0.208814640519,-0.130457924313,0.34543483974,0.185928001331,0.968061912564,-0.168187133171,0.00307072029584,0.161411283472,0.138753664269,0.977084345499,-0.038432834926
18,18,1.8,1,319.999908447,320.000061035,320.000061035,240.000061035,0.966850624111,-0.217512654411,-0.133746460991,0.360713965272,0.193023697341,0.965493914162,-0.174823779791,0.00316387847443,0.167157778524,0.143212244193,0.975473490256,-0.0400154991645
19,19,1.9,1,319.999908447,320.000061035,320.000061035,240.000061035,0.964743240036,-0.225200468571,-0.136217582417,0.37474220392,0.199252496482,0.96308233268,-0.181027244153,0.00361819115542,0.171956167234,0.147503116698,0.973998925623,-0.0414895396746
20,20,2,1,319.999908447,320.000061035,320.000061035,240.000061035,0.962908581153,-0.23187390199,-0.137991151591,0.387691842515,0.204714641114,0.960944641042,-0.186218453882,0.00406561286857,0.175781057157,0.151062538137,0.972769823502,-0.0427153893178
21,21,2.1,1,319.999847412,320.000061035,320.000091553,240.000167847,0.961609334928,-0.23718884916,-0.138017885845,0.399082348372,0.209300645956,0.959186818843,-0.190141752807,0.004078238444,0.177484440392,0.153954851798,0.972006778282,-0.0444056271092
22,22,2.2,1,319.999847412,320.000061035,320.000091553,240.000167847,0.960572864138,-0.241471622415,-0.137808665367,0.409234240233,0.213087856917,0.957788128357,-0.192964935709,0.00415450974767,0.178587059768,0.155991527804,0.97147995622,-0.0455201730893
23,23,2.3,1,319.999847412,320.000061035,320.000091553,240.000167847,0.959870085944,-0.244838168145,-0.136761432901,0.41819302182,0.216244008805,0.956674275356,-0.194968868101,0.00435367719698,0.178571965228,0.15757094368,0.971227805894,-0.0462936987724
24,24,2.4,1,319.999847412,320.000061035,320.000091553,240.000167847,0.959484502306,-0.247250188648,-0.13511785244,0.425975847138,0.218667849578,0.955848294865,-0.196312018898,0.00470068385532,0.177690352567,0.158812409516,0.971187292538,-0.0469877460538
25,25,2.5,1,319.999847412,320.000061035,320.000091553,240.000167847,0.959439929361,-0.248755740825,-0.132648420099,0.432383222649,0.220499348252,0.955347219995,-0.196702126752,0.00489825451263,0.17565608264,0.159474984418,0.971448747993,-0.0474614482634
26,26,2.6,1,319.999847412,320.000061035,320.000091553,240.000167847,0.959651562707,-0.24951532083,-0.129657174369,0.437628813796,0.221763730161,0.955076144045,-0.196597067783,0.00525083189341,0.172886454586,0.159911424691,0.971873762417,-0.0478609666447
27,27,2.7,1,319.999847412,320.00012207,320.000183105,240.000183105,0.960262399796,-0.249319490147,-0.125442876921,0.441036702043,0.22252353273,0.955210238323,-0.19508120869,0.00472061327646,0.168461867847,0.159415157484,0.972731929488,-0.0484435205648
28,28,2.8,1,319.999847412,320.00012207,320.000183105,240.000183105,0.960965344627,-0.248671567576,-0.121276782223,0.443722478473,0.222821211839,0.955455562995,-0.193533910974,0.00477046460828,0.164000957258,0.158956341873,0.973568984406,-0.0486922830162
29,29,2.9,1,319.999847412,320.00012207,320.000183105,240.000183105,0.961831776656,-0.247527128259,-0.116661708334,0.445169662252,0.222770250056,0.955880414065,-0.191483810536,0.0048930836081,0.158912079798,0.158186455751,0.974537837188,-0.0485537537169
30,30,3,1,319.999847412,320.00012207,320.000183105,240.000183105,0.962898806157,-0.24573111335,-0.111544202147,0.445235910763,0.222198019831,0.956498291889,-0.189047765384,0.00502762186409,0.153146756688,0.157248966754,0.975612030149,-0.0483158507174
31,31,3.1,1,319.999847412,320.00012207,320.000183105,240.000183105,0.964041031058,-0.243610297713,-0.106202228249,0.44801209682,0.221380979272,0.957246320264,-0.186198669055,0.00524973470066,0.147021605397,0.155992003606,0.976755415832,-0.0482827734116
32,32,3.2,1,319.999847412,320.00012207,320.000183105,240.000183105,0.965283325149,-0.241126070651,-0.100430673806,0.453194993803,0.220289299575,0.958106779377,-0.183041044042,0.00555697656437,0.140359277149,0.154562664843,0.977961991058,-0.0485377413991
33,33,3.3,1,319.999847412,320.00012207,320.000183105,240.000183105,0.966650580769,-0.238217122181,-0.0940173249959,0.460492964949,0.218917932433,0.959119528805,-0.179345109564,0.00563257433036,0.132896928327,0.152781975917,0.979283449404,-0.0491718612101
34,34,3.4,1,319.999847412,320.00012207,320.000183105,240.000183105,0.967949092324,-0.235307416297,-0.0877779841733,0.470771488486,0.217457762029,0.960106122215,-0.175807724002,0.00624521608035,0.1256450413,0.151084922877,0.980503273669,-0.0497425592486
35,35,3.5,1,319.999847412,320.00012207,320.000183105,240.000183105,0.969345275299,-0.231922166299,-0.0811285771737,0.483145923042,0.215540420409,0.961165067927,-0.172348598391,0.00708251793665,0.117949414687,0.149578811923,0.981689418604,-0.050640220502
36,36,3.6,1,319.999786377,320.000061035,320.000366211,240.000183105,0.970708135921,-0.228576517512,-0.0740168257818,0.49805946943,0.213776746183,0.962303691445,-0.168140144587,0.00702295798264,0.109659553383,0.147391930147,0.982980366681,-0.0526547477729
37,37,3.7,1,319.999786377,320.000061035,320.000366211,240.000183105,0.971994261307,-0.22524607898,-0.0670176088049,0.515455209206,0.211952005333,0.963421459304,-0.163998290197,0.00733473654596,0.1015061743,0.145200880356,0.984181487797,-0.054362175875
38,38,3.8,1,319.999786377,320.000061035,320.000366211,240.000183105,0.973140234027,-0.222215615128,-0.0601523508448,0.535634721206,0.210281472035,0.964356255477,-0.160619784091,0.00855556892199,0.0937005199422,0.143656649397,0.985181698798,-0.05600215461
39,39,3.9,1,320.00012207,320.000030518,320.000305176,239.999984741,0.97420311275,-0.219305508264,-0.0532295890689,0.558246624735,0.208726453396,0.965300069484,-0.156936431418,0.0093292514216,0.0857995498841,0.141777536649,0.98617319338,-0.0580667966549
40,40,4,1,320.00012207,320.000030518,320.000305176,239.999984741,0.975189420712,-0.216471683136,-0.0463206663531,0.583179357985,0.207175442247,0.966173632075,-0.153580105527,0.0103515043459,0.0779995503901,0.140173189605,0.987049921258,-0.0603072877456
41,41,4.1,1,320.00012207,320.000030518,320.000305176,239.999984741,0.976047904135,-0.213932202035,-0.0395411401783,0.610718694245,0.205841326219,0.96694670765,-0.150477283949,0.0114852091118,0.0704261120236,0.138733836883,0.9878223956,-0.0628990689416
42,42,4.2,1,320.000366211,320,320.000061035,239.999908447,0.97674549371,-0.211822513382,-0.0331581564757,0.640966462417,0.204821226617,0.967586765233,-0.147729878066,0.0128750937453,0.0633759074391,0.137502998406,0.988471759731,-0.0655379136057
43,43,4.3,1,320.000366211,320,320.000061035,239.999908447,0.977381925573,-0.20979162705,-0.0266841672562,0.673524475246,0.203840895704,0.968149760291,-0.145378577814,0.0146888664273,0.0563334785105,0.136651069767,0.989016190126,-0.0684045588794
44,44,4.4,1,320.000305176,320.000091553,320.000152588,240,0.977905642395,-0.208033452663,-0.0205581406205,0.708791111759,0.203052872422,0.968642709309,-0.143181118533,0.0164870575158,0.0496999554736,0.135843234193,0.98948296102,-0.0715209595511
